merchant_id,segment,cities,name,tier,score,top_rank,channel,phone_masked,contact_note,instagram_handle,website_domain,bnpl_status_final,reviews_count,rating,n_locations,owner_name_verified,hook_from_page,flags,score_exclusion,hook_ar_ai_drafted
m_c11de03f7a,A_aesthetic_clinics,jeddah,مركز الطبابة,A,92,13,mobile_or_whatsapp,+9661•••••000,number on the merchant website (not stored),altababahcenter,altababah.com,not_detected,1588,4.6,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أن مركز الطبابة يضم 20 طبيبًا متخصصًا؛ هل يفيدكم إتاحة تقسيط المدفوعات للعملاء؟
m_77dd12b777,A_aesthetic_clinics,riyadh,مجمع عالم الطب – التعاون | Medical world clinics complex,A,92,14,mobile_or_whatsapp,,number on the merchant website (not stored),medicalworldpo2,medicalworld.com.sa,not_detected,1530,4.6,1,False,True,medical: Risk review,,السلام عليكم، لاحظنا أنكم تقدمون إزالة الشعر بالليزر للرجال والنساء؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_bfe6f8d54a,A_aesthetic_clinics,jeddah,Pearl dental & Derma clinic,A,92,15,mobile_or_whatsapp,,number on the merchant website (not stored),pearldclinic,pearlclinic.net,not_detected,1371,4.5,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أن عيادتكم تستخدم أحدث التقنيات وأجهزة الذكاء الاصطناعي؛ هل ممكن يفيدكم خيار تقسيم المدفوعات للعملاء؟
m_88364901ff,A_aesthetic_clinics,jeddah,skin life عيادات سكين لايف,A,92,16,mobile_or_whatsapp,+9665•••••581,mobile in Google Maps,skinlifeclinicksa,skinlifeksa.com,not_detected,1345,4.8,1,False,True,medical: Risk review,,هلا عيادات سكين لايف، شفت عرض إزالة الشعر بالليزر كامل الجسم؛ هل يفيدكم توفير إمكانية تقسيم الدفع للعملاء؟
m_baaa2ba4ec,A_aesthetic_clinics,riyadh,Moustashark Dentist,A,92,17,mobile_or_whatsapp,+9661•••••911,number on the merchant website (not stored),,moustashark.com,not_detected,1231,4.5,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أن مستشارك يقدم زراعة وتقويم الأسنان—هل يفيدكم توفير تقسيط للدفعات للعملاء؟
m_9f1b1c99de,A_aesthetic_clinics,jeddah,Bare Beauty Clinic & Center - بيير بيوتي كلينك و سنتر,A,92,18,mobile_or_whatsapp,,number on the merchant website (not stored),bbclinicofficial,barebeauty.sa,not_detected,1214,4.4,1,False,True,medical: Risk review,,هلا، لاحظنا أنكم تقدمون جلسة ليزر بكيني بـ125 ريال؛ هل يفيدكم إتاحة تقسيط الدفع للعميلات؟
m_f596d7d4f0,A_aesthetic_clinics,riyadh,عيادات بانثيرا جلدية تجميل ليزر panthera clinics,A,92,19,mobile_or_whatsapp,+9665•••••977,mobile in Google Maps,pantheraclinics,pantheraclinics.com,not_detected,1166,4.7,1,False,True,medical: Risk review,,مرحبًا، لاحظت أن عيادات بانثيرا تقدم إزالة الشعر بالليزر للنساء والرجال—هل قد يساعدكم إتاحة تقسيط الدفع للعملاء؟
m_54a9bf8b88,A_aesthetic_clinics,jeddah,عيادات لي ساج الطبية ( فرع النهضة ),A,92,20,mobile_or_whatsapp,+9665•••••528,mobile in Google Maps,,lesageclinic.com,not_detected,1110,4,2,False,True,medical: Risk review,,هلا، لاحظنا أنكم تقدمون جلسات ليزر لجميع مناطق الجسم؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_c789dad467,B_custom_furniture,jeddah,Modern Curtain الستارة المعاصرة,A,92,21,mobile_or_whatsapp,+9665•••••008,mobile in Google Maps,,moderncurtain.net,not_detected,272,4.8,1,False,True,B Jeddah: source relevance 0.40,,هلا، شفنا عرض خصم 30٪ على جميع أنواع الستائر مع تركيب مجاني—هل يفيدكم توفير الدفع على دفعات لعملائكم؟
m_c09ba291e9,B_custom_furniture,jeddah,شركة المواد المتطورة للتجارة - المعرض,A,92,22,mobile_or_whatsapp,+9665•••••058,mobile in Google Maps,,karzah.com,not_detected,167,4.6,1,False,True,B Jeddah: source relevance 0.40,,السلام عليكم، لاحظت أنكم تقدمون الستائر والبلاندز مع التوصيل والتركيب؛ هل قد يفيدكم إتاحة تقسيط الدفع للعملاء؟
m_0587ab2c28,B_custom_furniture,riyadh,تنجيد كنب وتفصيل ستائر تركيب,A,92,23,mobile_or_whatsapp,+9665•••••512,mobile in Google Maps,,curtainsstores.com,not_detected,145,4.8,1,False,True,,,هلا، لاحظت أنكم تفصلون ستائر ويفي وتركبونها باحترافية؛ هل يفيدكم توفير خيار تقسيط الدفع للعملاء؟
m_f7e35ee0ee,B_custom_furniture,riyadh,مؤسسه تعتيم للستائر,A,92,24,mobile_or_whatsapp,+9665•••••991,mobile in Google Maps,,taatimksa.com,not_detected,122,4.9,1,False,True,,,السلام عليكم، شفت إنكم تقدمون معاينة واستشارة مجانية للستائر؛ هل يفيدكم توفير خيار تقسيط الدفع للعملاء؟
m_beb72ed397,B_custom_furniture,riyadh,مؤسسة ستارة رول للستائر,A,92,25,mobile_or_whatsapp,+9665•••••378,mobile in Google Maps,,staracurtains.com,not_detected,117,4.7,1,False,True,,,السلام عليكم، شفت إنكم توفرون ستائر ذكية؛ هل يفيدكم تقسيم الدفع للعملاء؟
m_2c91bffb0a,B_custom_furniture,riyadh,DECO NEST Curtain تفصيل ستائر,A,92,26,mobile_or_whatsapp,+9665•••••136,mobile in Google Maps,,deconestcurtain.com,not_detected,73,4.9,1,False,True,,,لاحظت أنكم تقدمون خدمة القياس الاحترافية في الرياض؛ هل يفيدكم إتاحة تقسيط الدفع للعملاء؟
m_1188753298,B_custom_furniture,riyadh,تفصیل ستائر کنب مجلس تنجید,A,92,27,mobile_or_whatsapp,+9665•••••912,mobile in Google Maps,,curtainsstore.in,not_detected,70,4.9,1,False,True,,,السلام عليكم، لاحظت أنكم تفصلون الستائر والمجالس والكنب حسب الطلب في الرياض؛ هل يفيدكم تقسيط الدفع للعملاء؟
m_16f1115768,B_custom_furniture,riyadh,Bin Ateeq Curtains and Roller Blinds Riyadh -بن عتيق للستائر,A,92,28,mobile_or_whatsapp,+9665•••••192,mobile in Google Maps,,binateeqcurtain.com,not_detected,64,4.9,1,False,True,,,السلام عليكم، لاحظت أنكم تقدمون الستائر الرول والستائر المخصصة؛ هل يفيدكم توفير خيار تقسيط المبلغ للعملاء؟
m_165817df6e,B_custom_furniture,riyadh,تفصيل ستائر و تنجيد كنب منى,A,92,29,mobile_or_whatsapp,+9665•••••394,mobile in Google Maps,,curtainriyadh.com,not_detected,59,4.7,1,False,True,,,السلام عليكم، لاحظت أنكم تقدمون خدمة تنجيد الكنب في الرياض؛ هل قد يفيدكم إتاحة تقسيط قيمة الطلبات للعملاء؟
m_5dd1075640,B_custom_furniture,riyadh,تفصیل وتركيب ستائر وامجالس حي العارض,A,92,30,mobile_or_whatsapp,+9665•••••328,mobile in Google Maps,,sofastore.site,not_detected,44,4.6,1,False,True,,,شفت عندكم خدمة تصميم الأرائك حسب الطلب؛ هل يفيدكم توفير خيار تقسيم الدفعات للعملاء؟
m_8767894238,B_custom_furniture,jeddah,تنجيد كنب تفصيل كنب وستائر الفخامه للديكور,A,92,31,mobile_or_whatsapp,+9665•••••480,mobile in Google Maps,,kanabalfakhamih.art.blog,not_detected,43,4.5,1,False,True,B Jeddah: source relevance 0.40,,السلام عليكم، شفت إنكم تفصلون وتنجّدون الكنب والستائر حسب الطلب في جدة؛ هل يفيدكم توفير خيار تقسيط للعملاء؟
m_1b05ea4544,B_custom_furniture,riyadh,شركة زنبق الياقوت للستائر والاثاث,A,92,32,mobile_or_whatsapp,+9665•••••043,mobile in Google Maps,,zan-baq.com,not_detected,41,4.9,1,False,True,,,السلام عليكم، لاحظت أنكم توفرون المعاينة والتركيب المجاني للستائر بالرياض؛ هل قد يساعدكم تقسيم الدفع للعملاء؟
m_db04a8d7de,B_custom_furniture,riyadh,تفصيل ستائر مجالس كتب,A,92,33,mobile_or_whatsapp,+9665•••••602,mobile in Google Maps,,royaltouchcurtains.com,not_detected,41,4.9,1,False,True,,,هلا، شفنا إنكم تقدمون خدمة منزلية كاملة للمعاينة والتنفيذ والتركيب؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_cf22b63f72,A_aesthetic_clinics,riyadh,عاجي لطب الأسنان,A,91,34,mobile_or_whatsapp_and_name,+9665•••••984,mobile in Google Maps,aaji_group,aaji.sa,not_detected,884,4.2,1,True,True,medical: Risk review,,حياكم الله، لاحظنا أنكم تقدمون زراعة الأسنان وابتسامة هوليوود؛ هل يفيدكم توفير تقسيط للعملاء؟
m_80974ff440,A_aesthetic_clinics,jeddah,د. سامي سهيل صوان - استشاري جلدية وتجميل,A,91,35,mobile_or_whatsapp_and_name,+9665•••••363,mobile in Google Maps,drsamisawan,drsamisawan.com,not_detected,475,4.7,1,True,True,medical: Risk review,,لاحظنا أن لديكم استشارة مدتها 15 دقيقة للمرضى الجدد؛ هل قد يساعدكم توفير خيار تقسيم الدفع للعملاء؟
m_b85356f16c,A_aesthetic_clinics,jeddah,عيادات الدكتور اسامة الوسية Dr.Osama Alwasiah Clinics,A,91,36,mobile_or_whatsapp_and_name,,number on the merchant website (not stored),osamaclinic,alwasiah.med.sa,not_detected,296,4.5,1,True,True,medical: Risk review,,السلام عليكم، لاحظنا أن عياداتكم تقدم إزالة الشعر بالليزر في جدة؛ هل قد يفيدكم إتاحة تقسيط المدفوعات للعملاء؟
m_31848685f8,A_aesthetic_clinics,riyadh,عيادة د ياسر حامد لطب وتجميل الأسنان,A,91,37,mobile_or_whatsapp_and_name,+9665•••••015,mobile in Google Maps,yaser_m_hamed,dryasser.ksa7.vip,not_detected,271,4.7,1,True,True,medical: Risk review,,السلام عليكم، لاحظنا أن عيادتكم تقدم ابتسامة هوليود؛ هل قد يفيد تقسيم الدفع للعملاء؟
m_414422d77f,A_aesthetic_clinics,jeddah,الدكتورة شيماء منصور | جلدية وتجميل وليزر بجدة,A,91,38,mobile_or_whatsapp_and_name,+9665•••••842,mobile in Google Maps,drshiymaa,drshiymaa.com,not_detected,207,4.8,1,True,True,medical: Risk review,,السلام عليكم دكتورة شيماء، شفت إن العيادة تقدم أكثر من 15 علاجًا متقدمًا؛ هل ممكن يفيدكم توفير تقسيط للدفع لعملائكم؟
m_5a09d872c2,A_aesthetic_clinics,riyadh,diamond medical clinics 2,A,89,39,mobile_or_whatsapp,+9661•••••001,number on the merchant website (not stored),diamondsclinics,diamondsclinic.com,not_detected,3870,3.9,2,False,True,medical: Risk review,,هلا، لاحظنا أن عيادات الماسي تقدم خدمات الجلدية والطب التجميلي والعلاج بالليزر وطب الأسنان؛ هل يفيدكم توفير تقسيط للدفع لعملائكم؟
m_8c468637db,A_aesthetic_clinics,riyadh,Symphony clinic,A,89,40,mobile_or_whatsapp,+9661•••••222,number on the merchant website (not stored),symphony_clinic,symphony.sa,not_detected,1870,4.2,1,False,True,medical: Risk review,,هلا، لاحظنا أن عيادات سيمفوني تقدم خدمات الجلدية والتجميل وطب الأسنان؛ هل قد يساعدكم تقسيم المدفوعات على تسهيل تجربة العملاء؟
m_08157f9afe,A_aesthetic_clinics,riyadh,عيادات بيست كلينك | جلدية - تجميل - ليزر,A,89,41,mobile_or_whatsapp,+9665•••••887,mobile in Google Maps,,bestclinicriyadh.com,not_detected,1492,4,1,False,True,medical: Risk review,,السلام عليكم، لاحظنا أن عيادات بيست كلينك تقدم خدمات الجلدية والتجميل والليزر؛ هل يفيدكم تقسيط الدفع للعملاء؟
m_ab02523201,A_aesthetic_clinics,riyadh,2Care Medical Center,A,89,42,mobile_or_whatsapp,+9665•••••751,mobile in Google Maps,2care_sa,2care.sa,not_detected,1107,4.6,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أن مجمع توكير يقدم خدمات الأسنان والجلدية؛ هل قد يفيدكم توفير تقسيم للدفعات للعملاء؟
m_d0bc350a1f,A_aesthetic_clinics,riyadh,Elyzee Medical Center | مركز إليزيه الطبي,A,89,43,mobile_or_whatsapp,,number on the merchant website (not stored),elyzeemcenter,elyzee.com.sa,not_detected,872,4.3,1,False,True,medical: Risk review,,بما أنكم تقدمون خدمات تجميلية وجراحية متنوعة في الرياض، هل يفيدكم توفير خيار تقسيط للمرضى؟
m_d8e9c2b056,A_aesthetic_clinics,jeddah,Vaya clinics,A,89,44,mobile_or_whatsapp,+9665•••••375,mobile in Google Maps,,nahda.beautiviaclinic.com,not_detected,843,4.6,1,False,True,medical: Risk review,,السلام عليكم، بما أن فايا كلينكس عيادة أسنان في جدة، هل يفيدكم تقسيم المدفوعات للعملاء؟
m_76a377b0cb,A_aesthetic_clinics,riyadh,Loro Clinics,A,89,45,mobile_or_whatsapp,+9665•••••613,mobile in Google Maps,loro_clinic,loroclinic.com,not_detected,705,4.7,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أن عيادات لورو تقدم إزالة الشعر بالليزر وتجديد البشرة؛ هل يهمكم توفير خيار تقسيم الدفع للعملاء؟
m_e5cd84ad99,A_aesthetic_clinics,jeddah,UniDents Clinic مجمع إتحاد أطباء الأسنان,A,89,46,mobile_or_whatsapp,,number on the merchant website (not stored),unidents_clinic,unidents.com,not_detected,639,4.4,1,False,True,medical: Risk review,,السلام عليكم، لاحظنا أن يوني دنت تقدم زراعة الأسنان؛ هل تعتقدون أن إتاحة تقسيم المدفوعات للعملاء بتفيدهم؟
m_18e3946522,A_aesthetic_clinics,riyadh,عيادات تجميل ديرمو برايت | DermoBright Cosmetic clinic,A,89,47,mobile_or_whatsapp,+9665•••••000,mobile in Google Maps,,dermoobright.com,not_detected,597,4.6,1,False,True,medical: Risk review,,السلام عليكم، لاحظت أنكم تقدمون استشارة مجانية؛ هل تعتقدون أن خيار تقسيم الدفع سيساعد عملاءكم؟
m_26a4aaf0f7,A_aesthetic_clinics,riyadh,Divinia Clinic At Taawun - عيادة ديڤينيا التعاون,A,89,48,mobile_or_whatsapp,+9661•••••266,number on the merchant website (not stored),divinia.clinic,divinia.sa,not_detected,552,4.4,1,False,True,medical: Risk review,,السلام عليكم، لاحظنا أن عيادتكم تعطي أولوية للاستشارات الفردية لتقييم احتياجات العملاء؛ هل يفيدكم توفير تقسيط للدفع لعملائكم؟
m_e4a1a6d399,A_aesthetic_clinics,jeddah,Newderma1,A,89,49,mobile_or_whatsapp,+9665•••••999,mobile in Google Maps,newderma1,newderma1.com,not_detected,493,4.4,1,False,True,medical: Risk review,,مرحباً، لاحظت أن نيو ديرما 1 تقدم إزالة الشعر بالليزر؛ هل قد يفيدكم إتاحة تقسيم الدفعات لعملائكم؟
m_2bed7f8c21,A_aesthetic_clinics,jeddah,Ideal Clinics,A,89,50,mobile_or_whatsapp,+9661•••••999,number on the merchant website (not stored),drmohammedbakkar,idealclinicsa.com,not_detected,492,4,2,False,True,medical: Risk review,,هلا، لاحظنا أن مجمع المثالية الطبي يقدم علاجات الأسنان والجلدية والتجميل؛ هل يفيدكم توفير خيار تقسيط للمرضى؟
